NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
271,-71,-75,-69,-73,-91,-87,31
272,-72,-75,-74,-73,-91,-88,31
273,-71,-75,-74,-71,-90,-85,31
274,-73,-75,-69,-68,-89,-77,31
275,-72,-75,-74,-73,-81,-85,31
276,-72,-75,-73,-72,-89,-83,31
277,-72,-75,-74,-72,-90,-84,31
278,-72,-75,-72,-70,-89,-78,31
279,-72,-75,-73,-70,-90,-77,31
280,-72,-75,-74,-70,-89,-79,31
281,-72,-76,-73,-72,-89,-84,31
282,-72,-76,-75,-72,-90,-83,31
283,-73,-76,-74,-71,-88,-79,31
284,-72,-75,-75,-72,-89,-81,31
285,-73,-75,-76,-71,-89,-83,31
286,-72,-75,-75,-67,-89,-80,31
287,-72,-76,-77,-71,-88,-82,31
288,-70,-76,-74,-72,-88,-68,31
289,-71,-75,-73,-70,-89,-81,31
290,-72,-75,-74,-70,-90,-81,31
291,-71,-76,-73,-72,-89,-82,31
292,-73,-75,-73,-71,-89,-82,31
293,-72,-74,-72,-69,-88,-82,31
294,-72,-75,-71,-71,-89,-80,31
295,-71,-75,-73,-70,-89,-82,31
296,-72,-75,-73,-71,-89,-84,31
297,-72,-76,-71,-70,-89,-82,31
298,-66,-75,-74,-67,-80,-85,31
299,-72,-75,-71,-70,-89,-79,31
300,-72,-74,-70,-70,-89,-80,31
301,-72,-75,-72,-68,-88,-78,31
302,-71,-75,-71,-69,-88,-80,31
303,-71,-75,-72,-68,-88,-78,31
304,-71,-75,-72,-69,-89,-81,31
305,-71,-75,-71,-70,-88,-83,31
306,-72,-76,-71,-71,-88,-81,31
307,-71,-75,-71,-71,-89,-83,31
308,-71,-75,-73,-70,-87,-74,31
309,-72,-76,-72,-69,-88,-79,31
310,-71,-76,-72,-70,-87,-79,31
311,-71,-76,-73,-70,-88,-80,31
312,-71,-75,-75,-70,-88,-80,31
313,-71,-75,-73,-71,-89,-81,31
314,-71,-75,-73,-69,-88,-80,31
315,-71,-75,-71,-69,-88,-78,31
316,-71,-75,-71,-69,-88,-78,31
317,-71,-75,-73,-70,-88,-80,31
318,-71,-75,-71,-70,-81,-81,31
319,-72,-75,-71,-71,-87,-83,31
320,-71,-76,-71,-70,-89,-87,31
321,-71,-76,-73,-68,-87,-80,31
322,-69,-74,-72,-70,-89,-86,31
323,-71,-75,-71,-68,-87,-80,31
324,-71,-76,-71,-67,-86,-76,31
325,-71,-76,-72,-68,-87,-78,31
326,-66,-76,-72,-70,-88,-69,31
327,-70,-75,-72,-69,-87,-79,31
328,-71,-75,-73,-70,-86,-85,31
329,-71,-79,-72,-69,-87,-80,31
330,-71,-75,-73,-70,-88,-83,31
331,-70,-76,-74,-70,-87,-79,31
332,-71,-74,-73,-71,-88,-85,31
333,-71,-75,-73,-71,-88,-78,31
334,-70,-75,-73,-70,-88,-82,31
335,-71,-75,-71,-69,-87,-82,31
336,-70,-75,-72,-70,-87,-80,31
337,-71,-76,-70,-67,-81,-76,31
338,-71,-77,-74,-71,-88,-77,31
339,-71,-76,-76,-70,-87,-80,31
340,-71,-76,-73,-68,-87,-77,31
341,-71,-75,-73,-71,-89,-78,31
342,-70,-76,-75,-71,-88,-87,31
343,-68,-76,-74,-70,-88,-77,31
344,-72,-77,-74,-71,-89,-80,31
345,-71,-77,-75,-70,-88,-79,31
346,-70,-78,-75,-69,-88,-80,31
347,-71,-78,-71,-70,-82,-71,31
348,-71,-78,-75,-71,-87,-81,31
349,-70,-78,-75,-71,-87,-77,31
350,-67,-78,-70,-69,-90,-79,31
351,-70,-78,-73,-69,-87,-76,31
352,-70,-76,-74,-69,-86,-75,31
353,-71,-79,-79,-72,-88,-81,31
354,-71,-79,-79,-70,-87,-75,31
355,-69,-77,-74,-71,-88,-79,31
356,-71,-77,-78,-71,-88,-78,31
357,-71,-76,-77,-72,-86,-77,31
358,-71,-75,-74,-70,-89,-76,31
359,-70,-75,-75,-69,-85,-75,31
360,-70,-77,-77,-70,-85,-74,31
361,-69,-79,-75,-69,-85,-78,31
